name,sex,age,height,weight,team,year,season,sport,event,medal,country
Prince Abdullah Bin Moteb Al-Saud,M,27.0,178.0,69.0,Saudi Arabia,2012.0,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Saudi Arabia
Marina Alabau Neira,F,26.0,164.0,55.0,Spain,2012.0,Summer,Sailing,Sailing Women's Windsurfer,Gold,Spain
Ruslan Vladimirovich Albegov,M,24.0,192.0,156.0,Russia,2012.0,Summer,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze,Russia
Nely Carla Alberto Francisca,F,29.0,179.0,90.0,Spain,2012.0,Summer,Handball,Handball Women's Handball,Bronze,Spain
Islam-Beka Said-Tsilimovich Albiyev,M,19.0,165.0,66.0,Russia,2008.0,Summer,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold,Russia
Brigitte Albrecht-Loretan,F,31.0,175.0,64.0,Switzerland,2002.0,Winter,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze,Switzerland
David Alegre Biosca,M,23.0,184.0,75.0,Spain,2008.0,Summer,Hockey,Hockey Men's Hockey,Silver,Spain
Ramn Alegre Biosca,M,27.0,171.0,71.0,Spain,2008.0,Summer,Hockey,Hockey Men's Hockey,Silver,Spain
Jo Qesem Ayela Aleh,F,26.0,171.0,58.0,New Zealand,2012.0,Summer,Sailing,Sailing Women's Two Person Dinghy,Gold,New Zealand
Jo Qesem Ayela Aleh,F,30.0,171.0,58.0,New Zealand,2016.0,Summer,Sailing,Sailing Women's Two Person Dinghy,Silver,New Zealand
Virgilijus Alekna,M,32.0,200.0,130.0,Lithuania,2004.0,Summer,Athletics,Athletics Men's Discus Throw,Gold,Lithuania
Virgilijus Alekna,M,36.0,200.0,130.0,Lithuania,2008.0,Summer,Athletics,Athletics Men's Discus Throw,Bronze,Lithuania
Artur Aleksanyan,M,20.0,190.0,98.0,Armenia,2012.0,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,Armenia
Artur Aleksanyan,M,24.0,190.0,98.0,Armenia,2016.0,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold,Armenia
Milan Aleksi,M,26.0,193.0,96.0,Serbia,2012.0,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,Serbia
