name,sex,age,height,weight,team,year,season,sport,event,medal,country
Austra Skujyt,F,24.0,188.0,82.0,Lithuania,2004.0,Summer,Athletics,Athletics Women's Heptathlon,Silver,Lithuania
Svetlana Yuryevna Sleptsova,F,23.0,162.0,54.0,Russia,2010.0,Winter,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold,Russia
Yelena Vladimirovna Slesarenko (Sivushenko-),F,22.0,178.0,60.0,Russia,2004.0,Summer,Athletics,Athletics Women's High Jump,Gold,Russia
Tom Slingsby,M,27.0,186.0,81.0,Australia,2012.0,Summer,Sailing,Sailing Men's One Person Dinghy,Gold,Australia
Oksana Nikolayevna Slivenko,F,21.0,164.0,69.0,Russia,2008.0,Summer,Weightlifting,Weightlifting Women's Light-Heavyweight,Silver,Russia
Anna Sloan,F,23.0,160.0,62.0,Great Britain,2014.0,Winter,Curling,Curling Women's Curling,Bronze,Great Britain
Bridget Elizabeth Sloan,F,16.0,150.0,47.0,United States,2008.0,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver,United States
Sara Slott-Bruun Petersen,F,29.0,171.0,57.0,Denmark,2016.0,Summer,Athletics,Athletics Women's 400 metres Hurdles,Silver,Denmark
Irina Eduardovna Slutskaya,F,23.0,160.0,49.0,Russia,2002.0,Winter,Figure Skating,Figure Skating Women's Singles,Silver,Russia
Irina Eduardovna Slutskaya,F,27.0,160.0,49.0,Russia,2006.0,Winter,Figure Skating,Figure Skating Women's Singles,Bronze,Russia
Olga Anatolyevna Slyusareva,F,35.0,168.0,60.0,Russia,2004.0,Summer,Cycling,"Cycling Women's Road Race, Individual",Bronze,Russia
Olga Anatolyevna Slyusareva,F,35.0,168.0,60.0,Russia,2004.0,Summer,Cycling,Cycling Women's Points Race,Gold,Russia
Minke Smabers (-Smeets),F,25.0,158.0,49.0,Netherlands,2004.0,Summer,Hockey,Hockey Women's Hockey,Silver,Netherlands
Minke Smabers (-Smeets),F,29.0,158.0,49.0,Netherlands,2008.0,Summer,Hockey,Hockey Women's Hockey,Gold,Netherlands
"Samantha ""Sami Jo"" Small (-Bridges)",F,25.0,170.0,85.0,Canada,2002.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
Erinn L. Smart,F,28.0,170.0,66.0,United States,2008.0,Summer,Fencing,"Fencing Women's Foil, Team",Silver,United States
Keeth Thomas Smart,M,30.0,183.0,75.0,United States,2008.0,Summer,Fencing,"Fencing Men's Sabre, Team",Silver,United States
Jnis mdi,M,24.0,190.0,89.0,Latvia-1,2012.0,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze,Latvia
"Johannes Adrianus Albertus ""Jan"" Smeekens",M,26.0,176.0,72.0,Netherlands,2014.0,Winter,Speed Skating,Speed Skating Men's 500 metres,Silver,Netherlands
Justine Smethurst,F,21.0,178.0,77.0,Australia,2008.0,Summer,Softball,Softball Women's Softball,Bronze,Australia
Yeldos Bakhtybayevich Smetov,M,23.0,167.0,60.0,Kazakhstan,2016.0,Summer,Judo,Judo Men's Extra-Lightweight,Silver,Kazakhstan
Lenka mdov,F,29.0,174.0,59.0,Czech Republic,2004.0,Summer,Sailing,Sailing Women's One Person Dinghy,Silver,Czechia
Kristina migun-Vhi,F,28.0,168.0,59.0,Estonia,2006.0,Winter,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Gold,Estonia
Kristina migun-Vhi,F,28.0,168.0,59.0,Estonia,2006.0,Winter,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,Gold,Estonia
Kristina migun-Vhi,F,32.0,168.0,59.0,Estonia,2010.0,Winter,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Silver,Estonia
Sandra Smisek,F,31.0,164.0,56.0,Germany,2008.0,Summer,Football,Football Women's Football,Bronze,Germany
"Grietje ""Gretha"" Smit",F,26.0,167.0,60.0,Netherlands,2002.0,Winter,Speed Skating,"Speed Skating Women's 5,000 metres",Silver,Netherlands
Julia Elizabeth Smit,F,20.0,183.0,66.0,United States,2008.0,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,United States
Julia Elizabeth Smit,F,20.0,183.0,66.0,United States,2008.0,Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,United States
Miloushka Yasemin Smit,F,23.0,178.0,70.0,Netherlands,2008.0,Summer,Water Polo,Water Polo Women's Water Polo,Gold,Netherlands
Anabelle Smith,F,23.0,168.0,55.0,Australia,2016.0,Summer,Diving,Diving Women's Synchronized Springboard,Bronze,Australia
Andrew Smith,M,29.0,191.0,89.0,Australia,2008.0,Summer,Hockey,Hockey Men's Hockey,Bronze,Australia
Clark Smith,M,21.0,206.0,90.0,United States,2016.0,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,United States
Colin Smith,M,24.0,185.0,84.0,Great Britain,2008.0,Summer,Rowing,Rowing Men's Coxed Eights,Silver,Great Britain
"David ""Dave"" Smith",M,25.0,183.0,85.0,Australia,2012.0,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,Australia
David Michael Smith,M,31.0,201.0,86.0,United States,2016.0,Summer,Volleyball,Volleyball Men's Volleyball,Bronze,United States
Jesse Aaron Smith,M,25.0,194.0,105.0,United States,2008.0,Summer,Water Polo,Water Polo Men's Water Polo,Silver,United States
John Smith,M,22.0,192.0,72.0,South Africa,2012.0,Summer,Rowing,Rowing Men's Lightweight Coxless Fours,Gold,South Africa
"Katherine May ""Katie"" Smith",F,30.0,180.0,79.0,United States,2004.0,Summer,Basketball,Basketball Women's Basketball,Gold,United States
"Katherine May ""Katie"" Smith",F,34.0,180.0,79.0,United States,2008.0,Summer,Basketball,Basketball Women's Basketball,Gold,United States
"Albertus Stephanus ""Kwagga"" Smith",M,23.0,180.0,90.0,South Africa,2016.0,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,South Africa
Leah Smith,F,21.0,178.0,67.0,United States,2016.0,Summer,Swimming,Swimming Women's 400 metres Freestyle,Bronze,United States
Leah Smith,F,21.0,178.0,67.0,United States,2016.0,Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,United States
Louis Antoine Smith,M,19.0,184.0,76.0,Great Britain,2008.0,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze,Great Britain
Louis Antoine Smith,M,23.0,184.0,76.0,Great Britain,2012.0,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze,Great Britain
Louis Antoine Smith,M,23.0,184.0,76.0,Great Britain,2012.0,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Silver,Great Britain
Louis Antoine Smith,M,27.0,184.0,76.0,Great Britain,2016.0,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Silver,Great Britain
Ronetta Jamilah Smith,F,24.0,168.0,59.0,Jamaica,2004.0,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze,Jamaica
Rusty Smith,M,22.0,173.0,73.0,United States,2002.0,Winter,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Bronze,United States
Rusty Smith,M,26.0,173.0,73.0,United States,2006.0,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze,United States
Sophie Smith,F,26.0,181.0,68.0,Australia,2012.0,Summer,Water Polo,Water Polo Women's Water Polo,Bronze,Australia
Tate Smith,M,30.0,187.0,92.0,Australia,2012.0,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,Australia
Olivia Smoliga,F,21.0,188.0,72.0,United States,2016.0,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,United States
Laura Smulders,F,18.0,170.0,73.0,Netherlands,2012.0,Summer,Cycling,Cycling Women's BMX,Bronze,Netherlands
"Marlies Jeannette Fransisca ""Marlies"" Smulders",F,22.0,184.0,78.0,Netherlands,2004.0,Summer,Rowing,Rowing Women's Coxed Eights,Bronze,Netherlands
"Marlies Jeannette Fransisca ""Marlies"" Smulders",F,26.0,184.0,78.0,Netherlands,2008.0,Summer,Rowing,Rowing Women's Coxed Eights,Silver,Netherlands
Aleksandr Aleksandrovich Smyshlyayev,M,26.0,170.0,74.0,Russia,2014.0,Winter,Freestyle Skiing,Freestyle Skiing Men's Moguls,Bronze,Russia
Ryan Alexander Gordon Smyth,M,25.0,185.0,86.0,Canada,2002.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,Canada
Belinda Rose Snell,F,23.0,180.0,80.0,Australia,2004.0,Summer,Basketball,Basketball Women's Basketball,Silver,Australia
Belinda Rose Snell,F,27.0,180.0,80.0,Australia,2008.0,Summer,Basketball,Basketball Women's Basketball,Silver,Australia
Belinda Rose Snell,F,31.0,180.0,80.0,Australia,2012.0,Summer,Basketball,Basketball Women's Basketball,Bronze,Australia
Jiske Snoeks,F,26.0,166.0,52.0,Netherlands,2004.0,Summer,Hockey,Hockey Women's Hockey,Silver,Netherlands
Gril Snorroeggen,F,23.0,177.0,73.0,Norway,2008.0,Summer,Handball,Handball Women's Handball,Gold,Norway
Gril Snorroeggen,F,27.0,177.0,73.0,Norway,2012.0,Summer,Handball,Handball Women's Handball,Gold,Norway
Emma Laura Snowsill (-Frodeno),F,27.0,161.0,48.0,Australia,2008.0,Summer,Triathlon,Triathlon Women's Olympic Distance,Gold,Australia
Katelin Snyder (-Guregian),F,28.0,163.0,50.0,United States,2016.0,Summer,Rowing,Rowing Women's Coxed Eights,Gold,United States
Kyle Frederick Snyder,M,20.0,180.0,102.0,United States,2016.0,Summer,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold,United States
"Philippus Albertus Borman ""Philip"" Snyman",M,29.0,188.0,95.0,South Africa,2016.0,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,South Africa
Rishod Rashidovich Sobirov,M,21.0,168.0,66.0,Uzbekistan,2008.0,Summer,Judo,Judo Men's Extra-Lightweight,Bronze,Uzbekistan
Rishod Rashidovich Sobirov,M,25.0,168.0,66.0,Uzbekistan,2012.0,Summer,Judo,Judo Men's Extra-Lightweight,Bronze,Uzbekistan
Rishod Rashidovich Sobirov,M,29.0,168.0,66.0,Uzbekistan,2016.0,Summer,Judo,Judo Men's Half-Lightweight,Bronze,Uzbekistan
Rafael Augusto Sbis do Nascimento,M,23.0,173.0,71.0,Brazil,2008.0,Summer,Football,Football Men's Football,Bronze,Brazil
Yevgeniya Viktorovna Soboleva-Khokhriakova,F,27.0,180.0,75.0,Russia,2016.0,Summer,Water Polo,Water Polo Women's Water Polo,Bronze,Russia
"Kathryn Michele ""Kate"" Sobrero-Markgraf",F,27.0,170.0,61.0,United States,2004.0,Summer,Football,Football Women's Football,Gold,United States
"Kathryn Michele ""Kate"" Sobrero-Markgraf",F,31.0,170.0,61.0,United States,2008.0,Summer,Football,Football Women's Football,Gold,United States
Jack Sock,M,23.0,191.0,84.0,United States-2,2016.0,Summer,Tennis,Tennis Mixed Doubles,Gold,United States
Jack Sock,M,23.0,191.0,84.0,United States-2,2016.0,Summer,Tennis,Tennis Men's Doubles,Bronze,United States
Hans Anders Sdergren,M,28.0,182.0,77.0,Sweden,2006.0,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze,Sweden
Hans Anders Sdergren,M,32.0,182.0,77.0,Sweden,2010.0,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold,Sweden
"Nicoleta Daniela ""Dana"" ofronie",F,16.0,146.0,37.0,Romania,2004.0,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold,Romania
"Nicoleta Daniela ""Dana"" ofronie",F,16.0,146.0,37.0,Romania,2004.0,Summer,Gymnastics,Gymnastics Women's Floor Exercise,Silver,Romania
Edwin Cheruiyot Soi,M,22.0,168.0,53.0,Kenya,2008.0,Summer,Athletics,"Athletics Men's 5,000 metres",Bronze,Kenya
Vctor Manuel Sojo Jimnez,M,24.0,170.0,64.0,Spain,2008.0,Summer,Hockey,Hockey Men's Hockey,Silver,Spain
Aleksandr Sergeyevich Sokolov,M,30.0,193.0,97.0,Russia,2012.0,Summer,Volleyball,Volleyball Men's Volleyball,Gold,Russia
Yelena Aleksandrovna Sokolova (Kremnyova-),F,26.0,170.0,61.0,Russia,2012.0,Summer,Athletics,Athletics Women's Long Jump,Silver,Russia
Lyubov Vladimirovna Sokolova-Shashkova (-Kl),F,26.0,190.0,74.0,Russia,2004.0,Summer,Volleyball,Volleyball Women's Volleyball,Silver,Russia
Irina Borisovna Sokolovskaya,F,25.0,186.0,72.0,Russia,2008.0,Summer,Basketball,Basketball Women's Basketball,Bronze,Russia
Beata Sokoowska-Kulesza,F,30.0,160.0,59.0,Poland,2004.0,Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,Poland
Vlado ola,M,35.0,194.0,94.0,Croatia,2004.0,Summer,Handball,Handball Men's Handball,Gold,Croatia
Sanna Charlotte Solberg,F,26.0,178.0,70.0,Norway,2016.0,Summer,Handball,Handball Women's Handball,Bronze,Norway
Franck Robert Bernard Solforosi,M,31.0,184.0,70.0,France,2016.0,Summer,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze,France
Nina Solheim,F,29.0,170.0,70.0,Norway,2008.0,Summer,Taekwondo,Taekwondo Women's Heavyweight,Silver,Norway
Odlanier Sols Fonte,M,24.0,180.0,91.0,Cuba,2004.0,Summer,Boxing,Boxing Men's Heavyweight,Gold,Cuba
Petrissa Solja,F,22.0,168.0,67.0,Germany,2016.0,Summer,Table Tennis,Table Tennis Women's Team,Silver,Germany
Hope Amelia Solo (-Stevens),F,27.0,175.0,69.0,United States,2008.0,Summer,Football,Football Women's Football,Gold,United States
Hope Amelia Solo (-Stevens),F,30.0,175.0,69.0,United States,2012.0,Summer,Football,Football Women's Football,Gold,United States
Jarrin Solomon,M,26.0,165.0,73.0,Trinidad and Tobago,2012.0,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,Trinidad and Tobago
Joyce Sombroek,F,21.0,179.0,64.0,Netherlands,2012.0,Summer,Hockey,Hockey Women's Hockey,Gold,Netherlands
Joyce Sombroek,F,25.0,179.0,64.0,Netherlands,2016.0,Summer,Hockey,Hockey Women's Hockey,Silver,Netherlands
Mika Someya,F,25.0,166.0,65.0,Japan,2008.0,Summer,Softball,Softball Women's Softball,Gold,Japan
Pter Somfai,M,36.0,188.0,85.0,Hungary,2016.0,Summer,Fencing,"Fencing Men's epee, Team",Bronze,Hungary
Ren Sommerfeldt,M,27.0,175.0,68.0,Germany,2002.0,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze,Germany
Ren Sommerfeldt,M,31.0,175.0,68.0,Germany,2006.0,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver,Germany
Son Seung-Mo,M,24.0,182.0,79.0,South Korea,2004.0,Summer,Badminton,Badminton Men's Singles,Silver,South Korea
Son Tae-Jin,M,20.0,176.0,68.0,South Korea,2008.0,Summer,Taekwondo,Taekwondo Men's Featherweight,Gold,South Korea
Song Dae-Nam,M,33.0,178.0,85.0,South Korea,2012.0,Summer,Judo,Judo Men's Middleweight,Gold,South Korea
Song Hai-Rim,F,23.0,167.0,67.0,South Korea,2008.0,Summer,Handball,Handball Women's Handball,Bronze,South Korea
Song Myeong-Seop,M,20.0,177.0,68.0,South Korea,2004.0,Summer,Taekwondo,Taekwondo Men's Featherweight,Bronze,South Korea
Song Nina,F,24.0,179.0,65.0,China,2004.0,Summer,Volleyball,Volleyball Women's Volleyball,Gold,China
Song Qingling,F,22.0,174.0,69.0,China,2008.0,Summer,Hockey,Hockey Women's Hockey,Silver,China
Song Seog-U,M,22.0,173.0,67.0,South Korea,2006.0,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold,South Korea
Song Seung-Jun,M,28.0,183.0,105.0,South Korea,2008.0,Summer,Baseball,Baseball Men's Baseball,Gold,South Korea
Rebecca Soni,F,21.0,173.0,61.0,United States,2008.0,Summer,Swimming,Swimming Women's 100 metres Breaststroke,Silver,United States
Rebecca Soni,F,21.0,173.0,61.0,United States,2008.0,Summer,Swimming,Swimming Women's 200 metres Breaststroke,Gold,United States
Rebecca Soni,F,21.0,173.0,61.0,United States,2008.0,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,United States
Rebecca Soni,F,25.0,173.0,61.0,United States,2012.0,Summer,Swimming,Swimming Women's 100 metres Breaststroke,Silver,United States
Rebecca Soni,F,25.0,173.0,61.0,United States,2012.0,Summer,Swimming,Swimming Women's 200 metres Breaststroke,Gold,United States
Rebecca Soni,F,25.0,173.0,61.0,United States,2012.0,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,United States
Chanatip Sonkham,F,21.0,166.0,49.0,Thailand,2012.0,Summer,Taekwondo,Taekwondo Women's Flyweight,Bronze,Thailand
Matteo Soragna,M,28.0,197.0,93.0,Italy,2004.0,Summer,Basketball,Basketball Men's Basketball,Silver,Italy
Cdric Sorhaindo,M,28.0,192.0,110.0,France,2012.0,Summer,Handball,Handball Men's Handball,Gold,France
Cdric Sorhaindo,M,32.0,192.0,110.0,France,2016.0,Summer,Handball,Handball Men's Handball,Silver,France
Slobodan Soro,M,29.0,196.0,100.0,Serbia,2008.0,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,Serbia
Slobodan Soro,M,33.0,196.0,100.0,Serbia,2012.0,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,Serbia
Valeriya Mikhaylovna Sorokina,F,28.0,170.0,56.0,Russia,2012.0,Summer,Badminton,Badminton Women's Doubles,Bronze,Russia
Soronzonboldyn Battsetseg,F,22.0,170.0,67.0,Mongolia,2012.0,Summer,Wrestling,"Wrestling Women's Middleweight, Freestyle",Bronze,Mongolia
Jos Ernesto Sosa,M,23.0,179.0,73.0,Argentina,2008.0,Summer,Football,Football Men's Football,Gold,Argentina
Colleen Sostorics,F,22.0,163.0,76.0,Canada,2002.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
Colleen Sostorics,F,26.0,163.0,76.0,Canada,2006.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
Colleen Sostorics,F,30.0,163.0,76.0,Canada,2010.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
Kelly Jade Sotherton,F,27.0,178.0,66.0,Great Britain,2004.0,Summer,Athletics,Athletics Women's Heptathlon,Bronze,Great Britain
Adelina Dmitriyevna Sotnikova,F,17.0,163.0,73.0,Russia,2014.0,Winter,Figure Skating,Figure Skating Women's Singles,Gold,Russia
Rafael Soto Andrade,M,46.0,172.0,74.0,Spain,2004.0,Summer,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver,Spain
Lorenzo Sotomayor Collazo,M,31.0,185.0,64.0,Azerbaijan,2016.0,Summer,Boxing,Boxing Men's Light-Welterweight,Silver,Azerbaijan
Daniele Pasquale Sottile,M,36.0,186.0,73.0,Italy,2016.0,Summer,Volleyball,Volleyball Men's Volleyball,Silver,Italy
Gabriela Soukalov (-Koukalov),F,24.0,170.0,62.0,Czech Republic,2014.0,Winter,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Silver,Czechia
Gabriela Soukalov (-Koukalov),F,24.0,170.0,62.0,Czech Republic,2014.0,Winter,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Silver,Czechia
Jaroslav Soukup,M,31.0,183.0,66.0,Czech Republic,2014.0,Winter,Biathlon,Biathlon Men's 10 kilometres Sprint,Bronze,Czechia
Jaroslav Soukup,M,31.0,183.0,66.0,Czech Republic,2014.0,Winter,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Silver,Czechia
Hamid Mohammad Sourian Reihanpour,M,26.0,167.0,64.0,Iran,2012.0,Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold,Iran
"Ashleigh ""Ash"" Southern",F,19.0,188.0,82.0,Australia,2012.0,Summer,Water Polo,Water Polo Women's Water Polo,Bronze,Australia
Douglas Correia de Souza,M,20.0,199.0,75.0,Brazil,2016.0,Summer,Volleyball,Volleyball Men's Volleyball,Gold,Brazil
Maurcio Luiz de Souza,M,27.0,209.0,93.0,Brazil,2016.0,Summer,Volleyball,Volleyball Men's Volleyball,Gold,Brazil
Dmitry Vladimirovich Sovolyov,M,24.0,183.0,74.0,Russia,2014.0,Winter,Figure Skating,Figure Skating Mixed Team,Gold,Russia
Daouda Demba Sow,M,25.0,175.0,60.0,France,2008.0,Summer,Boxing,Boxing Men's Lightweight,Silver,France
Kasper Sndergaard Sarup,M,35.0,195.0,95.0,Denmark,2016.0,Summer,Handball,Handball Men's Handball,Gold,Denmark
dne Sndrl,M,30.0,180.0,88.0,Norway,2002.0,Winter,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze,Norway
Else-Marthe Srlie Lybekk,F,29.0,177.0,76.0,Norway,2008.0,Summer,Handball,Handball Women's Handball,Gold,Norway
Jaroslav paek,M,32.0,184.0,90.0,Czech Republic,2006.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Czechia
Valeria Claudia Splty,F,22.0,169.0,64.0,Switzerland,2006.0,Winter,Curling,Curling Women's Curling,Silver,Switzerland
Ivana panovi,F,26.0,176.0,65.0,Serbia,2016.0,Summer,Athletics,Athletics Women's Long Jump,Bronze,Serbia
Roscko Shane Specman,M,27.0,174.0,81.0,South Africa,2016.0,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,South Africa
Ashley Spencer,F,23.0,178.0,59.0,United States,2016.0,Summer,Athletics,Athletics Women's 400 metres Hurdles,Bronze,United States
Luka pik,M,25.0,196.0,95.0,Slovenia,2004.0,Summer,Rowing,Rowing Men's Double Sculls,Silver,Slovenia
Luka pik,M,33.0,196.0,95.0,Slovenia,2012.0,Summer,Rowing,Rowing Men's Double Sculls,Bronze,Slovenia
"John ""Johnny"" Spillane",M,29.0,183.0,67.0,United States,2010.0,Winter,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",Silver,United States
"John ""Johnny"" Spillane",M,29.0,183.0,67.0,United States,2010.0,Winter,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",Silver,United States
"John ""Johnny"" Spillane",M,29.0,183.0,67.0,United States,2010.0,Winter,Nordic Combined,Nordic Combined Men's Team,Silver,United States
Nikolay Nikolayevich Spinev,M,30.0,191.0,89.0,Russia,2004.0,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold,Russia
Darya Sergeyevna Spiridonova,F,18.0,156.0,45.0,Russia,2016.0,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver,Russia
Nicola Spirig Hug,F,30.0,166.0,54.0,Switzerland,2012.0,Summer,Triathlon,Triathlon Women's Olympic Distance,Gold,Switzerland
Nicola Spirig Hug,F,34.0,166.0,54.0,Switzerland,2016.0,Summer,Triathlon,Triathlon Women's Olympic Distance,Silver,Switzerland
Sabine Spitz,F,32.0,167.0,60.0,Germany,2004.0,Summer,Cycling,"Cycling Women's Mountainbike, Cross-Country",Bronze,Germany
Sabine Spitz,F,36.0,167.0,60.0,Germany,2008.0,Summer,Cycling,"Cycling Women's Mountainbike, Cross-Country",Gold,Germany
Sabine Spitz,F,40.0,167.0,60.0,Germany,2012.0,Summer,Cycling,"Cycling Women's Mountainbike, Cross-Country",Silver,Germany
Denis poljari,M,24.0,194.0,96.0,Croatia,2004.0,Summer,Handball,Handball Men's Handball,Gold,Croatia
Natalie Marie Spooner,F,23.0,178.0,80.0,Canada,2014.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
Rachael Pamela Sporn,F,36.0,187.0,68.0,Australia,2004.0,Summer,Basketball,Basketball Women's Basketball,Silver,Australia
Barbora potkov,F,27.0,182.0,80.0,Czech Republic,2008.0,Summer,Athletics,Athletics Women's Javelin Throw,Gold,Czechia
Barbora potkov,F,31.0,182.0,80.0,Czech Republic,2012.0,Summer,Athletics,Athletics Women's Javelin Throw,Gold,Czechia
Barbora potkov,F,35.0,182.0,80.0,Czech Republic,2016.0,Summer,Athletics,Athletics Women's Javelin Throw,Bronze,Czechia
Goran prem,M,25.0,183.0,85.0,Croatia,2004.0,Summer,Handball,Handball Men's Handball,Gold,Croatia
Christian David Sprenger,M,22.0,196.0,92.0,Australia,2008.0,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Australia
Christian David Sprenger,M,26.0,196.0,92.0,Australia,2012.0,Summer,Swimming,Swimming Men's 100 metres Breaststroke,Silver,Australia
Christian David Sprenger,M,26.0,196.0,92.0,Australia,2012.0,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Australia
Nicholas Sprenger,M,19.0,190.0,88.0,Australia,2004.0,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Australia
Justin Edward Spring,M,24.0,170.0,64.0,United States,2008.0,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze,United States
Maria Springwald,F,25.0,174.0,69.0,Poland,2016.0,Summer,Rowing,Rowing Women's Quadruple Sculls,Bronze,Poland
Annika Sprink,F,20.0,173.0,61.0,Germany,2016.0,Summer,Hockey,Hockey Women's Hockey,Bronze,Germany
Sukanya Srisurat,F,21.0,155.0,58.0,Thailand,2016.0,Summer,Weightlifting,Weightlifting Women's Lightweight,Gold,Thailand
"Daniela Lucia ""Dani"" Sruoga",F,24.0,171.0,64.0,Argentina,2012.0,Summer,Hockey,Hockey Women's Hockey,Silver,Argentina
"Mara Josefina ""Jose"" Sruoga",F,21.0,171.0,60.0,Argentina,2012.0,Summer,Hockey,Hockey Women's Hockey,Silver,Argentina
rif rifov,M,23.0,180.0,97.0,Azerbaijan,2012.0,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold,Azerbaijan
rif rifov,M,27.0,180.0,97.0,Azerbaijan,2016.0,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,Azerbaijan
Sabah riti,M,27.0,192.0,130.0,Azerbaijan,2016.0,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze,Azerbaijan
Marianne St-Gelais,F,19.0,163.0,62.0,Canada,2010.0,Winter,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Silver,Canada
Marianne St-Gelais,F,19.0,163.0,62.0,Canada,2010.0,Winter,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Silver,Canada
Marianne St-Gelais,F,23.0,163.0,62.0,Canada,2014.0,Winter,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Silver,Canada
Kim St-Pierre,F,23.0,175.0,71.0,Canada,2002.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
Kim St-Pierre,F,27.0,175.0,71.0,Canada,2006.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
Kim St-Pierre,F,31.0,175.0,71.0,Canada,2010.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
Martin St. Louis,M,38.0,176.0,84.0,Canada,2014.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,Canada
Eric Craig Staal,M,25.0,193.0,93.0,Canada,2010.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,Canada
Amber Val Stachowski,F,21.0,182.0,72.0,United States,2004.0,Summer,Water Polo,Water Polo Women's Water Polo,Bronze,United States
